Year,Month,Country_of_Origin,Purpose,Primary_District,Accommodation_Type,Duration_Days,Group_Size,Age,Prior_Visits_SL,Season,Crisis_Period,Monthly_Arrivals
2017,7,Indai,VFR,Colombo,Homestay,,2,38.0,1,Dry Season,0,174213
2020,6,China,Leisure,Galle,Homestay,,3,18.0,2,Dry Season,1,688
2017,1,United Kingdom,Leisure,Galle,4-Star,11.0,4,35.0,0,Wet Season,0,205488
2019,11,United Kingdom,Adventure,Nuwara Eliya,4-Star,8.0,3,18.0,1,Wet Season,0,152737
2015,3,India,Leisure,Mirissa,Hostel,7.0,2,,1,Wet Season,0,168877
2021,1,Russia,Honeymoon,Bentota,4-Star,8.0,1,39.0,1,Wet Season,1,989
2022,11,Other,Cultural,Kandy,Boutique,7.0,2,,1,Wet Season,0,60241
2022,11,Other,Adventure,Sigiriya,Budget Hotel,8.0,1,,0,Wet Season,0,61145
2017,1,Other,Adventure,Sigiriya,4-Star,8.0,5,22.0,0,Wet Season,0,219708
2018,4,Australia,VFR,Colombo,Hostel,11.0,2,18.0,1,Wet Season,0,167007
2019,8,Other,Adventure,Sigiriya,3-Star,7.0,2,40.0,0,Dry Season,0,164269
2015,11,Russia,Leisure,Bentota,3-Star,6.0,2,,0,Wet Season,0,145997
2018,12,India,VFR,Gampaha,Budget Hotel,,1,48.0,0,Wet Season,0,296843
2023,9,Other,Adventure,Sigiriya,Eco-Lodge,9.0,2,23.0,2,Dry Season,0,102197
2023,6,Other,Leisure,Colombo,Hostel,10.0,1,39.0,1,Dry Season,0,111008
2015,8,Other,Cultural,Anuradhapura,5-Star,5.0,1,48.0,1,Dry Season,0,144948
2015,5,Other,Cultural,Kandy,Eco-Lodge,9.0,4,29.0,1,Dry Season,0,113781
2017,10,France,Leisure,Bentota,4-Star,5.0,4,39.0,0,Wet Season,0,143768
2023,3,United Kingdom,Leisure,Colombo,Boutique,11.0,2,31.0,0,Wet Season,0,136708
2019,3,United Kingdom,Leisure,Colombo,4-Star,7.0,1,27.0,0,Wet Season,0,170076
2023,12,Maldives,Transit,Colombo,Homestay,2.0,2,35.0,0,Wet Season,0,185661
2018,11,India,Business,Colombo,Homestay,,4,57.0,0,Wet Season,0,204541
2017,1,United Kingdm,Adventure,Nuwara Eliya,Budget Hotel,16.0,6,34.0,0,Wet Season,0,222183
2015,4,Other,Adventure,Knuckles Range,5-Star,10.0,2,26.0,4,Wet Season,0,144346
2017,6,Germany,Adventure,Sigiriya,4-Star,8.0,1,37.0,3,Dry Season,0,140192
2015,9,Australia,Adventure,Sigiriya,Budget Hotel,16.0,1,44.0,0,Dry Season,0,120377
2017,5,France,Leisure,Galle,Homestay,9.0,2,46.0,1,Dry Season,0,141524
2017,12,Germany,Cultural,Kandy,Hostel,6.0,1,56.0,0,Wet Season,0,248384
2023,12,Italy,Honeymoon,Nuwara Eliya,Budget Hotel,10.0,1,25.0,1,Wet Season,0,168199
2016,5,Russia,Honeymoon,Galle,Boutique,8.0,4,18.0,0,Dry Season,0,135243
2015,12,India,Leisure,Colombo,5-Star,12.0,1,35.0,1,Wet Season,0,195750
2020,5,United Kingdom,Cultural,Anuradhapura,Budget Hotel,6.0,4,39.0,2,Dry Season,1,608
2016,4,Other,Leisure,Mirissa,5-Star,10.0,3,,0,Wet Season,0,148039
2018,12,Germany,Leisure,Bentota,3-Star,8.0,2,18.0,2,Wet Season,0,281034
2019,2,Australia,Leisure,Bentota,3-Star,6.0,1,26.0,0,Wet Season,0,187252
2017,10,India,VFR,Colombo,5-Star,7.0,2,30.0,0,Wet Season,0,153585
2017,7,India,Medical,Colombo,Boutique,,2,51.0,2,Dry Season,0,167683
2016,12,Germany,Leisure,Mirissa,4-Star,5.0,2,18.0,0,Wet Season,0,245544
2019,3,Other,Leisure,Colombo,Homestay,10.0,2,34.0,1,Wet Season,0,156745
2017,12,India,VFR,Gampaha,Homestay,,1,33.0,3,Wet Season,0,229681
2017,9,Russia,Beach,Bentota,Hostel,8.0,1,28.0,1,Dry Season,0,135826
2016,12,Other,Leisure,Colombo,Eco-Lodge,11.0,2,39.0,0,Wet Season,0,223613
2015,8,USA,Business,Gampaha,Hostel,4.0,1,55.0,0,Dry Season,0,131747
2015,11,Russia,Leisure,Colombo,5-Star,,1,35.0,0,Wet Season,0,153119
2016,1,Russia,Leisure,Galle,4-Star,8.0,2,31.0,1,Wet Season,0,205967
2016,2,China,Group Tour,Colombo,5-Star,6.0,2,18.0,2,Wet Season,0,204624
2019,12,Australia,Adventure,Ella,Homestay,15.0,1,38.0,0,Wet Season,0,203774
2018,11,Other,Adventure,Sigiriya,Homestay,13.0,2,39.0,0,Wet Season,0,190024
2023,1,Russia,Honeymoon,Mirissa,3-Star,8.0,2,34.0,4,Wet Season,0,166644
2022,1,Other,Adventure,Nuwara Eliya,3-Star,10.0,1,49.0,2,Wet Season,0,81088
2023,1,India,Medical,Colombo,Boutique,27.0,2,60.0,1,Wet Season,0,162021
2015,4,United Kingdom,Leisure,Colombo,3-Star,11.0,5,47.0,0,Wet Season,0,130828
2021,5,USA,Cultural,Anuradhapura,3-Star,8.0,1,40.0,0,Dry Season,1,633
2016,8,China,Leisure,Galle,Hostel,,3,26.0,3,Dry Season,0,154592
2022,12,Germany,Adventure,Nuwara Eliya,Boutique,,2,33.0,0,Wet Season,0,82509
2016,10,Australia,Adventure,Ella,4-Star,10.0,2,37.0,3,Wet Season,0,143709
2017,9,China,Leisure,Mirissa,Budget Hotel,11.0,2,24.0,1,Dry Season,0,140922
2017,1,United Kingdom,Cultural,Anuradhapura,4-Star,,2,30.0,2,Wet Season,0,217576
2018,9,Other,Leisure,Bentota,Hostel,7.0,4,40.0,3,Dry Season,0,155915
2023,11,Other,Leisure,Colombo,Eco-Lodge,,3,35.0,4,Wet Season,0,131852
2018,10,USA,Leisure,Bentota,5-Star,6.0,2,41.0,0,Wet Season,0,175249
2019,1,Other,Adventure,Ella,5-Star,8.0,1,49.0,0,Wet Season,0,207206
2017,11,Other,Adventure,Ella,Boutique,13.0,2,32.0,0,Wet Season,0,177296
2016,2,Other,Adventure,Sigiriya,Budget Hotel,17.0,2,62.0,0,Wet Season,0,198752
2018,11,Switzerland,Leisure,Bentota,5-Star,10.0,1,,2,Wet Season,0,216316
2015,12,India,Medical,Colombo,Budget Hotel,25.0,3,29.0,0,Wet Season,0,202528
2019,2,Other,Leisure,Mirissa,4-Star,7.0,1,66.0,1,Wet Season,0,196337
2019,3,India,Business,Colombo,Boutique,5.0,1,19.0,0,Wet Season,0,176347
2015,6,Other,Adventure,Sigiriya,Eco-Lodge,14.0,1,36.0,0,Dry Season,0,117951
2017,2,India,Medical,Colombo,Budget Hotel,29.0,3,56.0,2,Wet Season,0,209966
2019,1,USA,Leisure,Bentota,4-Star,8.0,3,,0,Wet Season,0,188231
2021,3,India,Leisure,Bentota,Boutique,5.0,1,46.0,0,Wet Season,1,900
2023,7,India,Medical,Colombo,Eco-Lodge,22.0,3,48.0,3,Dry Season,0,119326
2020,6,China,Leisure,Galle,Homestay,,3,18.0,2,Dry Season,1,688
2020,7,USA,Leisure,Mirissa,Budget Hotel,12.0,3,45.0,0,Dry Season,1,851
2016,7,India,Leisure,Galle,Hostel,10.0,2,,3,Dry Season,0,169345
2019,10,India,VFR,Gampaha,Eco-Lodge,13.0,4,38.0,3,Wet Season,0,138898
2015,12,Other,Cultural,Kandy,Homestay,4.0,2,37.0,2,Wet Season,0,192727
2015,1,Netherlands,Eco-Tourism,Yala,Budget Hotel,,2,48.0,0,Wet Season,0,196176
2018,6,Other,Adventure,Knuckles Range,Eco-Lodge,14.0,3,40.0,0,Dry Season,0,160096
2018,4,Australia,Adventure,Nuwara Eliya,Homestay,8.0,3,59.0,1,Wet Season,0,178529
2018,10,Germany,Cultural,Anuradhapura,Budget Hotel,7.0,2,45.0,1,Wet Season,0,155848
2018,7,India,Business,Gampaha,Homestay,2.0,6,,0,Dry Season,0,175746
2018,4,India,Business,Colombo,4-Star,5.0,2,42.0,0,Wet Season,0,181835
2019,5,South Korea,Group Tour,Sigiriya,4-Star,5.0,1,33.0,2,Dry Season,1,41222
2017,4,USA,Cultural,Polonnaruwa,3-Star,6.0,3,29.0,1,Wet Season,0,157527
2019,5,United Kingdom,Honeymoon,Galle,5-Star,10.0,3,23.0,1,Dry Season,1,42829
2017,12,Indai,Business,Gampaha,Hostel,5.0,1,47.0,2,Wet Season,0,232294
2018,7,India,Business,Gampaha,Hostel,3.0,3,27.0,0,Dry Season,0,193201
2015,3,Other,Cultural,Polonnaruwa,Eco-Lodge,5.0,2,56.0,1,Wet Season,0,152504
2016,2,Other,Adventure,Nuwara Eliya,Eco-Lodge,15.0,6,18.0,1,Wet Season,0,196330
2018,11,India,Medical,Colombo,Boutique,7.0,1,38.0,3,Wet Season,0,191553
2015,1,France,Eco-Tourism,Wilpattu,3-Star,11.0,2,,0,Wet Season,0,182624
2017,1,Germany,Cultural,Kandy,Hostel,7.0,1,18.0,0,Wet Season,0,214600
2015,2,Japan,Leisure,Bentota,Hostel,10.0,6,25.0,0,Wet Season,0,185568
2023,11,Switzerland,Eco-Tourism,Sinharaja,Eco-Lodge,7.0,1,49.0,1,Wet Season,0,132957
2019,9,Russia,Honeymoon,Galle,4-Star,11.0,1,49.0,1,Dry Season,0,123703
2019,12,France,Eco-Tourism,Yala,Homestay,6.0,2,31.0,2,Wet Season,0,235773
2023,11,India,Leisure,Colombo,4-Star,8.0,2,21.0,2,Wet Season,0,126485
2018,12,Canada,Cultural,Anuradhapura,3-Star,5.0,2,35.0,0,Wet Season,0,269229
2015,11,Maldives,Transit,Colombo,Budget Hotel,1.0,3,28.0,1,Wet Season,0,150960
2016,2,Italy,Cultural,Anuradhapura,Budget Hotel,4.0,2,61.0,1,Wet Season,0,201717
2015,11,Italy,Honeymoon,Galle,Homestay,17.0,1,25.0,0,Wet Season,0,146061
2015,3,USA,Cultural,Kandy,3-Star,8.0,4,38.0,0,Wet Season,0,146609
2018,11,Other,Leisure,Bentota,3-Star,10.0,3,47.0,0,Wet Season,0,187873
2018,3,United Kingdom,Leisure,Colombo,Hostel,,1,32.0,0,Wet Season,0,228498
2015,1,South Korea,Cultural,Polonnaruwa,Eco-Lodge,7.0,3,32.0,0,Wet Season,0,185597
2018,5,Other,Adventure,Sigiriya,5-Star,12.0,2,52.0,2,Dry Season,0,151440
2016,7,India,Leisure,Mirissa,5-Star,7.0,2,47.0,1,Dry Season,0,169257
2023,1,Other,Cultural,Sigiriya,Budget Hotel,6.0,2,32.0,0,Wet Season,0,164431
2019,10,China,Leisure,Mirissa,3-Star,10.0,2,37.0,2,Wet Season,0,140494
2016,10,United Kingdom,Adventure,Ella,Eco-Lodge,14.0,1,28.0,0,Wet Season,0,146325
2015,5,United Kingdom,Adventure,Knuckles Range,3-Star,12.0,2,18.0,1,Dry Season,0,121176
2020,2,India,Business,Gampaha,Homestay,2.0,1,39.0,2,Wet Season,0,47247
2015,8,India,Leisure,Mirissa,Boutique,5.0,1,54.0,0,Dry Season,0,134797
2018,3,Maldives,Leisure,Galle,Hostel,10.0,1,34.0,0,Wet Season,0,210171
2017,7,China,Shopping,Colombo,3-Star,2.0,2,44.0,1,Dry Season,0,162416
2015,5,India,Leisure,Mirissa,Boutique,,2,38.0,1,Dry Season,0,107681
2016,1,Netherlands,Eco-Tourism,Yala,Homestay,13.0,1,52.0,2,Wet Season,0,224172
2018,7,Other,Leisure,Mirissa,Eco-Lodge,5.0,2,32.0,2,Dry Season,0,197006
2015,2,Australia,Leisure,Mirissa,3-Star,11.0,2,39.0,0,Wet Season,0,191628
2015,5,China,Group Tour,Galle,Homestay,6.0,1,56.0,0,Dry Season,0,114025
2023,7,South Korea,Cultural,Anuradhapura,3-Star,8.0,2,51.0,0,Dry Season,0,120598
2017,7,Canada,Cultural,Polonnaruwa,Homestay,9.0,2,30.0,0,Dry Season,0,177693
2016,6,Maldives,Business,Gampaha,3-Star,5.0,3,18.0,0,Dry Season,0,133775
2018,7,Switzerland,Eco-Tourism,Yala,Homestay,9.0,1,32.0,4,Dry Season,0,199100
2015,3,Germany,Cultural,Sigiriya,4-Star,7.0,2,38.0,0,Wet Season,0,172786
2016,5,Canada,Leisure,Colombo,Budget Hotel,7.0,1,44.0,1,Dry Season,0,132281
2018,6,Australia,VFR,Gampaha,4-Star,16.0,1,46.0,0,Dry Season,0,161107
2018,9,Maldives,Business,Colombo,Hostel,2.0,1,47.0,0,Dry Season,0,156697
2023,2,Other,Adventure,Knuckles Range,Homestay,17.0,3,38.0,0,Wet Season,0,148143
2016,11,India,Business,Gampaha,Boutique,3.0,4,18.0,1,Wet Season,0,173012
2018,5,India,VFR,Gampaha,3-Star,12.0,1,35.0,0,Dry Season,0,145080
2023,2,Canada,Adventure,Knuckles Range,Eco-Lodge,7.0,5,24.0,0,Wet Season,0,134888
2019,11,India,Medical,Colombo,Budget Hotel,8.0,3,32.0,1,Wet Season,0,163670
2019,10,China,Group Tour,Sigiriya,Boutique,8.0,2,44.0,4,Wet Season,0,125763
2017,10,Switzerland,Leisure,Galle,Hostel,7.0,3,30.0,0,Wet Season,0,158953
2019,1,Maldives,Transit,Colombo,5-Star,1.0,5,31.0,0,Wet Season,0,192545
2018,5,United Kingdom,Leisure,Mirissa,Eco-Lodge,6.0,3,40.0,0,Dry Season,0,133343
2015,11,China,Shopping,Gampaha,Boutique,3.0,2,35.0,2,Wet Season,0,154082
2015,3,Maldives,Transit,Colombo,Homestay,1.0,1,49.0,0,Wet Season,0,179367
2017,5,United Kingdom,Honeymoon,Nuwara Eliya,5-Star,11.0,4,40.0,0,Dry Season,0,134159
2019,11,China,Group Tour,Sigiriya,Hostel,7.0,5,36.0,0,Wet Season,0,170145
2020,1,South Korea,Group Tour,Kandy,Hostel,9.0,2,18.0,0,Wet Season,0,60339
2016,12,India,Leisure,Galle,Eco-Lodge,11.0,1,47.0,0,Wet Season,0,237957
2017,8,Japan,Leisure,Mirissa,Homestay,11.0,2,34.0,0,Dry Season,0,159031
2016,1,Other,Adventure,Knuckles Range,Eco-Lodge,11.0,1,41.0,2,Wet Season,0,213096
2023,12,India,Business,Gampaha,3-Star,5.0,3,60.0,2,Wet Season,0,152418
2018,12,USA,Business,Gampaha,Homestay,3.0,1,32.0,0,Wet Season,0,261115
2022,4,India,Business,Colombo,Eco-Lodge,2.0,1,36.0,0,Wet Season,0,58070
2017,12,Other,Adventure,Knuckles Range,Hostel,9.0,3,47.0,0,Wet Season,0,241809
2022,12,United Kingdom,Cultural,Polonnaruwa,3-Star,4.0,1,43.0,1,Wet Season,0,81742
2015,6,India,Leisure,Galle,Homestay,6.0,1,31.0,0,Dry Season,0,128377
2019,3,Germany,Cultural,Sigiriya,Budget Hotel,7.0,1,47.0,0,Wet Season,0,180589
2015,1,Netherlands,Cultural,Sigiriya,3-Star,4.0,1,28.0,0,Wet Season,0,201092
2016,1,Netherlands,Leisure,Colombo,Budget Hotel,9.0,4,42.0,0,Wet Season,0,218980
2018,12,China,Group Tour,Kandy,3-Star,9.0,1,43.0,2,Wet Season,0,270830
